prefName,shortName,prefCd
北海道,hokkaido,1
青森県,aomori,2
秋田県,akita,5
山形県,yamagata,6
岩手県,iwate,3
宮城県,miyagi,4
福島県,fukushima,7
東京都,tokyo,13
神奈川県,kanagawa,14
埼玉県,saitama,11
千葉県,chiba,12
栃木県,tochigi,9
茨城県,ibaraki,8
群馬県,gunma,10
愛知県,aichi,23
岐阜県,gifu,21
静岡県,shizuoka,22
三重県,mie,24
新潟県,niigata,15
山梨県,yamanashi,19
長野県,nagano,20
石川県,ishikawa,17
富山県,toyama,16
福井県,fukui,18
大阪府,osaka,27
兵庫県,hyogo,28
京都府,kyoto,26
滋賀県,shiga,25
奈良県,nara,29
和歌山県,wakayama,30
岡山県,okayama,33
広島県,hiroshima,34
鳥取県,tottori,31
島根県,shimane,32
山口県,yamaguchi,35
香川県,kagawa,37
徳島県,tokushima,36
愛媛県,ehime,38
高知県,kochi,39
福岡県,fukuoka,40
佐賀県,saga,41
長崎県,nagasaki,42
熊本県,kumamoto,43
大分県,oita,44
宮城県,miyazaki,45
鹿児島県,kagoshima,46
沖縄県,okinawa,47